strategy,direction,reason,entry_price,take_profit_pips,stop_loss_pips,level
price_action,buy,rejection at resistance,4344.415,250.0,120.0,1
price_action,buy,rejection at resistance,4349.265,250.0,120.0,1
price_action,buy,rejection at resistance,4354.425,250.0,120.0,1
price_action,sell,rejection at support,4334.915,250.0,120.0,1
trend_following,sell,EMA pullback breakout,4331.525,250.0,120.0,1
price_action,sell,rejection at support,4331.525,250.0,120.0,1
price_action,sell,rejection at support,4319.385,250.0,120.0,1
price_action,sell,rejection at support,4334.105,250.0,120.0,1
trend_following,sell,EMA pullback breakout,4331.038,250.0,120.0,1
price_action,sell,rejection at support,4331.475,250.0,120.0,1
trend_following,sell,EMA pullback breakout,4330.305,250.0,120.0,1
price_action,sell,rejection at support,4324.415,250.0,120.0,1
price_action,sell,rejection at support,4323.025,250.0,120.0,1
price_action,sell,rejection at support,4322.755,250.0,120.0,1
price_action,sell,rejection at support,4325.705,250.0,120.0,1
trend_following,sell,EMA pullback breakout,4322.975,250.0,120.0,1
price_action,sell,rejection at support,4322.975,250.0,120.0,1
price_action,buy,rejection at resistance,4376.278,250.0,120.0,1
price_action,sell,rejection at support,4284.195,250.0,120.0,1
trend_following,sell,EMA pullback breakout,4292.435,250.0,120.0,1
price_action,sell,rejection at support,4264.485,250.0,120.0,1
price_action,sell,rejection at support,4226.765,250.0,120.0,1
price_action,sell,rejection at support,4310.725,250.0,120.0,1
price_action,sell,rejection at support,4309.695,250.0,120.0,1
price_action,sell,rejection at support,4307.785,250.0,120.0,1
price_action,sell,rejection at support,4298.705,250.0,120.0,1
trend_following,sell,EMA pullback breakout,4304.895,250.0,120.0,1
price_action,sell,rejection at support,4288.475,250.0,120.0,1
price_action,sell,rejection at support,4286.935,250.0,120.0,1
price_action,sell,rejection at support,4281.435,250.0,120.0,1
price_action,sell,rejection at support,4266.635,250.0,120.0,1
price_action,sell,rejection at support,4255.325,250.0,120.0,1
price_action,sell,rejection at support,4247.245,250.0,120.0,1
price_action,sell,rejection at support,4235.565,250.0,120.0,1
price_action,sell,rejection at support,4231.615,250.0,120.0,1
price_action,sell,rejection at support,4218.185,250.0,120.0,1
price_action,sell,rejection at support,4207.185,250.0,120.0,1
price_action,sell,rejection at support,4195.485,250.0,120.0,1
price_action,sell,rejection at support,4188.115,250.0,120.0,1
price_action,sell,rejection at support,4185.215,250.0,120.0,1
price_action,sell,rejection at support,4179.535,250.0,120.0,1
price_action,sell,rejection at support,4165.935,250.0,120.0,1
price_action,sell,rejection at support,4162.005,250.0,120.0,1
price_action,sell,rejection at support,4153.555,250.0,120.0,1
price_action,sell,rejection at support,4145.245,250.0,120.0,1
price_action,sell,rejection at support,4135.085,250.0,120.0,1
price_action,sell,rejection at support,4125.495,250.0,120.0,1
price_action,sell,rejection at support,4155.185,250.0,120.0,1
trend_following,sell,EMA pullback breakout,4151.005,250.0,120.0,1
price_action,sell,rejection at support,4151.005,250.0,120.0,1
price_action,sell,rejection at support,4149.505,250.0,120.0,1
price_action,sell,rejection at support,4146.625,250.0,120.0,1
trend_following,sell,EMA pullback breakout,4149.105,250.0,120.0,1
trend_following,sell,EMA pullback breakout,4145.415,250.0,120.0,1
price_action,sell,rejection at support,4145.415,250.0,120.0,1
price_action,sell,rejection at support,4139.985,250.0,120.0,1
price_action,sell,rejection at support,4178.115,250.0,120.0,1
price_action,sell,rejection at support,4171.265,250.0,120.0,1
price_action,buy,rejection at resistance,4185.175,250.0,120.0,1
price_action,buy,rejection at resistance,4193.705,250.0,120.0,1
price_action,buy,rejection at resistance,4201.915,250.0,120.0,1
price_action,sell,rejection at support,4190.195,250.0,120.0,1
price_action,buy,rejection at resistance,4205.085,250.0,120.0,1
price_action,buy,rejection at resistance,4212.745,250.0,120.0,1
price_action,sell,rejection at support,4193.225,250.0,120.0,1
trend_following,sell,EMA pullback breakout,4186.785,250.0,120.0,1
price_action,sell,rejection at support,4186.785,250.0,120.0,1
price_action,sell,rejection at support,4180.755,250.0,120.0,1
price_action,buy,rejection at resistance,4191.028,250.0,120.0,1
price_action,buy,rejection at resistance,4194.635,250.0,120.0,1
price_action,sell,rejection at support,4187.475,250.0,120.0,1
trend_following,sell,EMA pullback breakout,4178.525,250.0,120.0,1
price_action,sell,rejection at support,4178.525,250.0,120.0,1
price_action,sell,rejection at support,4177.965,250.0,120.0,1
price_action,sell,rejection at support,4154.305,250.0,120.0,1
price_action,sell,rejection at support,4146.695,250.0,120.0,1
price_action,sell,rejection at support,4141.825,250.0,120.0,1
price_action,sell,rejection at support,4117.875,250.0,120.0,1
price_action,sell,rejection at support,4104.645,250.0,120.0,1
price_action,sell,rejection at support,4098.455,250.0,120.0,1
price_action,sell,rejection at support,4093.735,250.0,120.0,1
