lookback_months,strategy,ltf,htf,signals,closed_trades,wins,losses,breakeven,success_rate,win_rate_all_closed,start_balance,end_balance,balance_change
6,trend_following,M15,H1,75,75,35,40,0,46.67,46.67,1000.0,1344.55,344.55
6,price_action,M5,M30,2317,2317,1078,1235,4,46.61,46.53,1000.0,1295070.77,1294070.77
6,scalping,M5,M30,341,341,159,182,0,46.63,46.63,1000.0,2360.76,1360.76
6,news,M5,M30,6294,6294,3084,3202,8,49.06,49.0,1000.0,10250388486412.46,10250388485412.46
6,session_breakout,M15,H1,634,634,310,324,0,48.9,48.9,1000.0,13889.44,12889.44
1,trend_following,M15,H1,17,17,7,10,0,41.18,41.18,1000.0,1048.15,48.15
1,price_action,M5,M30,487,487,216,270,1,44.44,44.35,1000.0,2374.99,1374.99
1,scalping,M5,M30,87,87,42,45,0,48.28,48.28,1000.0,1176.1,176.1
1,news,M5,M30,1463,1463,706,754,3,48.36,48.26,1000.0,40073.77,39073.77
1,session_breakout,M15,H1,107,107,54,53,0,50.47,50.47,1000.0,1465.8,465.8
